"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SL1344_2864",5559.69912891162,6.79467068268717,0.224794102542379,30.226196354089,1.07245851074007e-200,5.39553876753329e-197
"SL1344_4196",2715.5401662813,7.13556722803387,0.262181898263501,27.2160941517877,4.18930291697883e-163,1.05381914876602e-159
"SL1344_2674",2786.25884670613,7.37708647588863,0.27260497512114,27.0614520978951,2.80062504863515e-161,4.69664820656115e-158
"SL1344_2863",4811.23681423882,6.27708601677798,0.234940160374544,26.7178076611976,2.92331673899024e-157,3.67680162846497e-154
"SL1344_1030",2327.80947353009,6.6493778129563,0.256604882678471,25.9129044761321,4.76486108089266e-148,4.7944032195942e-145
"SL1344_2865",2202.82195063632,7.23514295392543,0.28427693355537,25.4510377026991,6.87521198744578e-143,5.76486525147329e-140
"SL1344_1663",1953.9213312914,6.62850052995416,0.26329250653848,25.1754241588544,7.44610432509207e-140,5.3516215513626e-137
"SL1344_2875",2483.93019468165,5.90334088326047,0.240985384915345,24.4966759512584,1.60268062915151e-132,1.00788578065765e-129
"SL1344_2877",1668.43914928396,6.05930824327869,0.2496998325077,24.2663688734827,4.44224168829349e-130,2.48321310375606e-127
"SL1344_2851",2165.91615831849,5.47534969442344,0.229273843607638,23.8812662110447,4.79537703131995e-126,2.41255418445707e-123
"SL1344_2873",1280.64461562928,5.99729927434803,0.253384673568668,23.6687530855048,7.56771351075614e-124,3.46119697023765e-121
"SL1344_1029",1814.66710487195,6.89553175495321,0.291382972696137,23.6648411235206,8.3031859827964e-124,3.48111072328739e-121
"SL1344_2874",1046.52977904983,6.88287249236348,0.301941302057987,22.7953991237729,5.09321743258856e-115,1.97107514641177e-112
"SL1344_3493",2713.25144062331,-6.3163587071973,0.288087985435243,-21.9251028384767,1.49699458869958e-106,5.26063325945163e-104
"SL1344_2878",2361.4818091694,5.88294989874125,0.268346269824521,21.9229799713194,1.56846549178641e-106,5.26063325945163e-104
"SL1344_4194",1361.20044618965,6.64350038982792,0.303830157966443,21.8658359469426,5.49496125220374e-106,1.72782187873981e-103
"SL1344_4193",979.37411434178,7.36583990197845,0.347562436538917,21.1928537943532,1.11152017671916e-99,3.28944588769063e-97
"SL1344_4195",1767.22368604953,6.82065215178819,0.325294913243521,20.9675954775295,1.29653152766271e-97,3.62380561981729e-95
"SL1344_4463",603.032452040862,-5.18545637211256,0.247522873413253,-20.9494027788501,1.8999896315552e-97,5.03097254544958e-95
"SL1344_3112",2393.01744998866,4.58378089085882,0.219999351616967,20.835429091807,2.06654798756829e-96,5.19840146272803e-94
"SL1344_2871",744.333993145542,6.05992975434769,0.295995773910175,20.4730279567663,3.74606284980997e-93,8.97449628447331e-91
"SL1344_0192",915.329395885668,-4.33217754608209,0.211663124979964,-20.4673229996589,4.21126987934843e-93,9.63040852863726e-91
"SL1344_1263",2576.71946511829,5.05660366439549,0.247454705788969,20.434461524073,8.25987940691464e-93,1.80675883896468e-90
"SL1344_2862",1493.30981437893,5.72425668860266,0.281605024773349,20.3272533691821,7.38207111699897e-92,1.54746665790091e-89
"SL1344_4251",4093.50883426282,4.51180060122245,0.222091796260598,20.3150259360701,9.46999562056112e-92,1.90574191868172e-89
"SL1344_2610",889.134644730862,5.56179974858894,0.274887085386978,20.2330340137995,5.01219923985783e-91,9.69860552912489e-89
"SL1344_2853",660.083916124118,6.10652150938918,0.301932879313291,20.224764932119,5.92722422152049e-91,1.10443944660998e-88
"SL1344_2876",1246.11383014643,5.9338058000685,0.296447703683024,20.0163662134931,3.96613849465498e-89,7.12630098807471e-87
"SL1344_2852",883.484417461483,5.52210558104312,0.284654699053802,19.3993129198243,7.82096646262429e-84,1.35680283701596e-81
"SL1344_1784",794.643343229788,7.24348989160843,0.378958155738268,19.114220876173,1.92269938254636e-81,3.22436686453024e-79
"SL1344_3411",797.813084005298,-4.9920786909787,0.261344992843713,-19.1014897077596,2.45384977827982e-81,3.98236072081476e-79
"FnrS",731.957650877688,6.06802155633578,0.318654340237488,19.0426452431603,7.56106738971528e-81,1.15271909205023e-78
"SL1344_ncRNA_43",731.957650877688,6.06802155633578,0.318654340237488,19.0426452431603,7.56106738971528e-81,1.15271909205023e-78
"SL1344_2870",537.207730456137,6.10197341764351,0.322351627929039,18.9295566982114,6.51079529497489e-80,9.63406209677019e-78
"SL1344_2869",577.028175070886,6.25874144216577,0.331625074498879,18.872943946182,1.90390486340906e-79,2.73672724794599e-77
"SL1344_1184",1259.4212691198,6.24630474709786,0.33813505219788,18.4728105131273,3.41815986638847e-76,4.77687841327789e-74
"SL1344_2854",2738.01812963033,5.93136155954355,0.324504265699734,18.2782236983962,1.23379311153285e-74,1.67762517408696e-72
"SL1344_ncRNA_79",15279.2932712739,5.20109749959589,0.287499551075902,18.0908021599754,3.76565900565805e-73,4.98553433091201e-71
"InvR",15276.6698287511,5.20067776571074,0.287549377092002,18.0862077264969,4.09301466874288e-73,5.27998892267832e-71
"SL1344_0806",3777.57275190127,3.92483715209593,0.218488668193056,17.9635730518892,3.75818323817902e-72,4.72685496781966e-70
"SL1344_2251",911.076873839547,-3.83674255337097,0.214225333427794,-17.9098451708755,9.88100385149533e-72,1.21247147260666e-69
"SL1344_2472",919.365941164825,-3.79834903200823,0.212749820065227,-17.853594568699,2.71017405691885e-71,3.19096104472111e-69
"SL1344_2861",2832.51272943065,4.72826920286647,0.26484092216494,17.8532424831302,2.72731713224027e-71,3.19096104472111e-69
"SL1344_0152",4844.77858172959,-3.58923968713443,0.20155332227902,-17.8078914629135,6.13788661521947e-71,7.01811535481118e-69
"SL1344_0480",3111.81960465909,-3.50259638857502,0.197467903212831,-17.7375478829079,2.15119909037142e-70,2.40504058303525e-68
"SL1344_4197",12202.4677578772,4.35556811254106,0.247005832369035,17.6334626221849,1.36354653180667e-69,1.49130491337377e-67
"tp2",4682.24395384823,-3.16460165853777,0.185030752925686,-17.1031118260042,1.40687695928997e-65,1.50595701748677e-63
"STnc4210",1953.79029412629,4.80650549776292,0.287389442809512,16.7247114256343,8.65946001516481e-63,9.07619652839461e-61
"SL1344_2872",450.430836868532,5.73030916501234,0.344788509621106,16.6197799668831,5.01162214766103e-62,5.13593322892488e-60
"DapZ",13917.8155812411,4.23685376260977,0.254963457412545,16.617494152326,5.20637238471813e-62,5.13593322892488e-60
"SL1344_ncRNA_2",13917.8155812411,4.23685376260977,0.254963457412545,16.617494152326,5.20637238471813e-62,5.13593322892488e-60
"SL1344_2252",508.046246320132,-3.73277412673291,0.227520045927145,-16.4063527304675,1.7224701438024e-60,1.66648986412882e-58
"SL1344_2855",2829.8992086402,3.82929100901586,0.235664988457872,16.2488752957056,2.27499750669792e-59,2.15953065211268e-57
"SL1344_2866",426.24784140568,5.38875648162574,0.33551190552122,16.0612973577026,4.76479981903886e-58,4.43920516473787e-56
"SL1344_0195",260.943196626627,-4.24793458283876,0.264803321797463,-16.0418477910478,6.5185640927376e-58,5.96270835464779e-56
"SL1344_1064",1265.61671475642,3.69708111148183,0.230981830960777,16.0059390650065,1.16147465460851e-57,1.04346053345275e-55
