"","SRR951029","SRR951030","SRR951035","SRR951036","SRR951038","SRR951039"
"SL1344_0088",20.5,17.61,6.17,8.14,2.03,1.07
"STnc3240",25.42,23.18,12.49,15.53,2.3,1.79
"SL1344_0089",10.19,9.12,5.2,5.05,2.23,1.01
"SL1344_0090",26.1,25.05,6.53,9.96,3.44,1.46
"SL1344_0091",27.73,25.89,9.49,12.1,3.8,1.62
"SL1344_0092",36.83,34.38,15.08,18.83,10.31,7.73
"SL1344_0093",25.01,24.99,8.45,10.42,1.08,0.64
"SL1344_0094",18.27,17.9,6.88,8.33,0.9,0.57
"SL1344_0095",8.95,8.85,4.18,4.21,1.56,1.07
"STnc4180",45.65,51.84,15.91,16.19,1.63,1.11
"SL1344_0096",9.18,10.24,2.08,2.3,0.17,0.07
"SL1344_0097",3.46,3.81,1.01,1.49,0.07,0.03
"SL1344_0098",2.09,2.32,0.98,1.17,0.78,0.39
"SL1344_0099",2.04,2.18,1.49,1.17,0.5,0.36
"SL1344_0099A",31.51,36.95,24.3,4.43,12.41,4.83
"SL1344_0100",0.92,0.43,0.18,0.24,0.62,0.21
"SL1344_0101",0.37,0.56,2.03,1.61,0.27,0.3
"SL1344_0102",0.19,0.17,0.32,0.29,0.43,0.14
"SL1344_0103",0.71,0.63,0.54,0.55,0.64,0.25
"SL1344_0104",2.14,2,2.55,2.22,0.16,0.1
"SL1344_0105",6.1,5.67,1.87,2,0.19,0.13
"SL1344_0106",5.01,5.23,1.37,1.47,0.16,0.12
"SL1344_0107",3.97,3.95,0.84,1.08,0.06,0.04
"SL1344_0108",5.37,5.27,1.44,1.5,0.39,0.18
"SL1344_ncRNA_4",3485.87,3384.24,1015.93,1056.04,304.81,204.84
"SroA",3485.87,3384.24,1015.93,1056.04,304.81,204.84
"SL1344_0109",1.7,1.79,1.02,1.06,1.12,0.57
"SL1344_ncRNA_5",70.1,71.95,71.33,83.12,13.2,15
"SgrS",70.1,71.95,71.33,83.12,13.2,15
"SL1344_0109A",103.8,104.75,98.45,106.44,6.8,6.84
"SL1344_0110",0.64,1.38,0.66,0.83,0.09,0.01
"SL1344_0111",0.81,0.73,0.44,0.41,0.07,0.05
"SL1344_0112",1.59,1.17,0.89,0.75,0.17,0.1
"SL1344_0113",0.41,0.35,0.27,0.3,0.08,0.04
"SL1344_0114",70.85,75.25,174.45,173.76,64.92,45.41
"SL1344_0115",0.16,0.08,0.2,0.25,0.12,0.13
"SL1344_0116",1.53,1.55,1.05,1.1,0.3,0.11
"SL1344_0117",4.21,4.08,2.21,2.56,0.73,0.32
"STnc1500",8.14,8.94,16.54,18.23,5.82,3.59
"SL1344_0118",6.8,7.4,7.78,9.17,0.23,0.2
"SL1344_0119",50.95,52.73,17.35,20.65,0.95,0.65
"SL1344_0120",31.92,30.95,12.96,15.27,0.6,0.48
"SL1344_0121",29.44,29.64,22.56,21.31,2.28,1.93
"SL1344_0122",29.23,30.14,22.62,18.01,0.97,0.59
"SL1344_0123",20.99,20.44,6.69,7.56,0.16,0.1
"SL1344_0124",16.66,17.6,4.34,5.82,0.24,0.16
"SL1344_0125",15.88,16.54,5.53,6.48,0.16,0.12
"SL1344_0126",19.19,19.59,7.69,8.09,0.26,0.19
"SL1344_0127",14.34,15.36,4.5,5.26,0.34,0.2
"SL1344_0128",18.38,18.32,8.09,10.02,0.19,0.27
"SL1344_0129",15.74,15.78,5.73,7.53,0.23,0.12
"SL1344_0130",25.7,27.27,21.3,21.57,1.3,0.73
"SL1344_0131",25.27,27.65,12.74,16.8,0.44,0.25
"SL1344_0132",30.41,32.19,13.75,15.39,0.48,0.34
"SL1344_0133",25.83,24.02,12.19,18.5,0.23,0.16
"SL1344_0134",77.16,79.5,32.86,42.77,6.42,3.52
"SL1344_0135",17.45,15.69,4.01,5.32,0.52,0.38
"SL1344_0136",18.36,18.84,3.9,4.86,0.29,0.21
"SL1344_0137",7.13,5.47,2.23,3.36,0.15,0.26
"SL1344_0138",14.03,17.25,3.29,5.43,0.44,0.25
"SL1344_0139",10.65,11.5,3.3,4.38,0.23,0.17
"SL1344_0140",13.55,15.92,3.84,4.77,0.3,0.31
"SL1344_0141",12.73,12.39,5.44,6.43,0.41,0.24
"SL1344_0142",0.75,0.85,0.24,0.47,0.05,0.04
"SL1344_0143",0.3,0.32,0.17,0.24,0.14,0.09
"SL1344_0144",0.47,0.48,0.15,0.19,0.07,0.01
"SL1344_0145",3.74,3.7,1.18,1.29,0.26,0.21
"SL1344_0146",5.19,5.36,2.45,2.36,0.34,0.11
"SL1344_0147",6.36,7.35,3.1,3.52,0.62,0.27
"SL1344_0148",2.37,2.06,0.76,0.87,0.11,0.09
"SL1344_0149",0.48,0.56,0.35,0.37,0.2,0.11
"SL1344_0150",2.36,2.28,1.05,1.28,0.32,0.31
"SL1344_0151",118.59,124.54,7.94,11.31,0.9,0.67
"tp2",1796.86,1855.45,127.92,150.05,12.94,7.77
"SL1344_0152",115.75,116.97,6.6,6.53,0.42,0.26
"SL1344_0153",133.82,132.88,9.29,9.5,0.54,0.47
"SL1344_0154",132.45,134.16,25,24.33,1.26,0.83
"SL1344_0155",1.73,1.1,0.19,0.33,0,0.03
"SL1344_0156",0.59,0.3,0.22,0.28,0.08,0.07
"SL1344_0157",0.83,0.84,0.62,0.76,0.23,0.17
"SL1344_0159",17.69,18.29,10.66,10.36,0.69,0.49
"SL1344_0160",21.11,22.34,9.52,11.95,5.47,2.34
"SL1344_0161",6.64,8.77,7.46,7.06,3.27,1.84
"SL1344_0162",3.26,3.75,1.05,0.86,0.16,0.08
"SL1344_0163",5.13,4.7,0.94,1.14,0.1,0.04
"SL1344_0164",9.42,8.67,2.76,2.17,0.62,0.18
"SL1344_0165",20.67,20.51,7.37,6.78,1.09,0.46
"SL1344_0166",19.84,19.06,2.07,2.86,0.28,0.1
"SL1344_0167",12.27,12.15,1.97,2.26,0.2,0.14
"SL1344_0168",14.51,16.79,3.85,3.88,1.69,0.83
"SL1344_0169",2.56,2.56,0.8,1.14,0.16,0.12
"SL1344_0170",0.95,1.1,2.73,2.6,4.57,0.84
"SL1344_0171",38.34,40.02,9.06,9.41,5.24,2.4
"SL1344_0172",58.32,61.09,8.34,10.01,2.4,1.19
"SL1344_0173",4.27,4.16,1.55,1.95,0.2,0.17
"SL1344_0174",3.02,2.33,1.19,1.37,0.12,0.18
"SL1344_0175",1.46,1.55,0.85,0.83,0.65,0.28
"SL1344_0176",0.31,0.35,0.19,0.18,0.03,0.03
"SL1344_0177",0.23,0.23,0.14,0.18,0.05,0.01
"SL1344_0178",1.25,0.77,1.07,0.66,1.98,1.04
"SL1344_0179",1.12,1.54,2.2,2.2,0.34,0.13
"SL1344_0180",5.37,5.68,1.64,2.84,0.58,0.31
"STnc4190",12.7,12.54,3.66,5.38,0.82,0.27
"SL1344_0181",34.6,32.11,12.59,16.61,0.81,1.17
"SL1344_0182",9.33,8.82,2.2,2.78,0.94,0.61
"SL1344_0183",7.39,7.11,1.79,2.14,0.49,0.19
"SL1344_0184",6.04,6.63,1.68,2,0.08,0.04
"SL1344_0185",23.49,24.04,5.22,6.44,0.19,0.09
"SL1344_0186",4.56,5.4,2.09,3.47,0.34,0.19
"SL1344_0187",63.27,63.03,33.02,58.05,3.21,2.69
"SL1344_0188",8.45,8.29,6.76,8.21,7.23,3.44
"SL1344_0189",8.14,7.96,4.12,4.13,1.39,0.47
"SL1344_0190",5.34,5.5,2.1,2.32,0.28,0.13
"SL1344_0191",9.3,9.46,4.2,4.49,0.61,0.37
"STnc3250",24.06,24.35,5.05,6.73,6.82,3.63
"SL1344_0192",19.24,19.26,0.64,0.66,1.67,0.81
"SL1344_0193",9.67,9.77,0.18,0.25,0.09,0.02
"SL1344_0194",11.36,11.47,0.26,0.37,0.12,0.06
"SL1344_0195",8.23,7.82,0.26,0.31,0.08,0.05
"SL1344_0196",0.28,0.51,0.27,0.45,0.57,0.3
"SL1344_0197",0.37,0.44,0.32,0.31,0.54,0.19
"SL1344_0198",0.17,0.21,0.09,0.22,0.1,0.02
"SL1344_0199",0.17,0.11,0.14,0.09,0,0.01
"SL1344_0200",0.43,0.44,0.34,0.31,0.18,0.05
"SL1344_0201",0.15,0.29,0.04,0.21,0.04,0.01
"SL1344_0202",2.68,3.42,3.08,2.87,2.6,1.22
"STnc1510",21.63,22.32,21.98,24.53,7.27,4.53
"SL1344_0203",12.51,13.13,3.64,4.65,0.41,0.3
"SL1344_0204",3.75,3.63,3.74,3.57,1.12,0.79
"SL1344_0205",115.6,130.94,13.43,20.16,6.44,3.22
"SL1344_0206",8.96,10.49,1.88,3.18,0.23,0.22
"SL1344_0207",5.01,4.98,1.68,2.26,0.47,0.19
"SL1344_0208",9.93,8.73,3.16,2.81,0.41,0.21
"SL1344_0209",2.89,2.93,2.43,2.83,1.94,0.69
"SL1344_0210",6.6,7.18,5.38,5.45,3.39,1.9
"STnc3100",22.8,21.18,17.76,23.49,27.79,16.87
"SL1344_0211",1.25,1.37,1.83,1.9,0.1,0.12
"SL1344_0212",40.75,41.72,129.32,103.42,17.63,11.07
"SL1344_0213",4.37,4.32,3.89,4.71,4.59,2.43
"STnc3110",39.48,36.34,29.7,41.53,35.86,19.84
"SL1344_0214",24.01,23.62,9.56,10.76,1.09,0.79
"SL1344_0215",4.09,4.49,1.03,1.21,0.14,0.07
"SL1344_0216",16.94,19,5.23,5.24,0.69,0.4
"t44",320.09,342.63,49.08,51.95,0.94,0.55
"SL1344_0217",274.35,277.16,39.37,47.61,0.62,0.48
"SL1344_0218",187.61,187.16,34.68,35.25,0.34,0.65
"SL1344_0219",42.06,42.89,6.38,7.45,0.18,0.08
"SL1344_0220",119.09,120.17,32.39,40.34,8.5,8.87
"SL1344_ncRNA_6",117.72,122.11,72.37,115.61,61.24,53.63
"sRNA1",117.72,122.11,72.37,115.61,61.24,53.63
"SL1344_0221",8.89,10.83,2.28,2.79,3.01,1.28
"STnc920",90.38,90.49,39.08,39.24,2.67,1.89
"SL1344_0222",27.23,26.46,6.02,8.91,0.63,0.25
"SL1344_0223",17.69,16.63,5.71,5.63,0.72,0.41
"SL1344_0224",34.22,36.55,12.54,13.58,0.68,0.37
"SL1344_0225",47.73,48.8,12.89,14.44,0.95,0.34
"SL1344_0226",164.61,173.02,34.16,37.49,1.03,0.71
"SL1344_0227",60.23,61.54,18.24,23.35,1.58,1.02
"SL1344_0228",39.7,38.66,14.2,19.56,0.76,0.57
"SL1344_0229",30.99,31.24,10.55,13.45,1.18,0.8
"SL1344_0230",17.6,16.41,6.64,9.79,0.26,0.16
"SL1344_0231",13.58,14.11,5.7,7.16,0.39,0.27
"SL1344_0232",13.74,13.18,3.3,4.01,0.23,0.15
"SL1344_0233",20.8,22.69,7.6,9.81,0.46,0.19
"SL1344_0234",2.19,2.47,1.31,1.36,0.52,0.33
"SL1344_0235",3.58,3.74,1.69,2.05,0.42,0.16
"SL1344_0236",6.31,6.62,3.24,3.46,1.64,0.45
"SL1344_0237",5.38,4.95,1.83,2.57,0.18,0.16
"SL1344_0238",47.02,51.14,46.68,44.68,4.81,2.98
"SL1344_0239",46.59,48.35,45.36,53.68,6.86,5.22
"SL1344_0240",5.79,6.07,2.13,2.54,0.35,0.18
"SL1344_0241",11.69,9.93,6.1,5.09,11.72,6.58
"SL1344_0242",7.42,5.8,2.96,3.51,1.29,0.75
"SL1344_0243",17.55,17.04,3.32,4.78,0.2,0.13
"SL1344_0244",11.01,9.91,3.33,3.66,0.58,0.26
"SL1344_0245",18.22,17.45,6.61,7.66,0.92,0.56
"SL1344_0246",17.42,18.28,11.61,11.44,3.18,1.51
"SL1344_0247",6.34,5.78,2.5,2.97,0.45,0.23
"SL1344_0248",4.29,5.13,1.81,2.33,0.74,0.43
"SL1344_0249",12.1,12.88,4.28,4.1,0.44,0.3
"SL1344_rRNA_1",3428.67,3452.56,1375.93,887.49,999.78,350.67
"SL1344_tRNA_1",5222.65,5288.94,4442.94,4325.53,2617.73,1933.66
"SL1344_tRNA_2",10723.91,10973.23,11711.92,14380.67,8970.33,14038.82
"SL1344_rRNA_2",3999.98,4052.55,1770.07,998.57,896.17,533.66
"SL1344_rRNA_3",26734.4,26651.18,17906.6,3482.76,12792.52,7232.06
"SL1344_tRNA_3",13443.52,13495.14,16186.4,13098.13,16996.86,17192.92
"SL1344_0250",2.93,3.67,0.89,1.08,0.18,0.2
"SL1344_0251",1.3,1.23,0.57,0.55,0.44,0.19
"SL1344_0252",0.37,0.42,0.13,0.27,0.09,0.03
"SL1344_0253",6.24,6.55,2.33,3.6,1.16,1
"SL1344_0254",2.82,3.32,0.72,1.19,0.2,0.13
"SL1344_0255",29.99,30.39,16.89,25.44,2.2,0.97
"SL1344_0256",3.77,5,3.22,3.87,2.63,0.97
"SL1344_0257",5.05,5.84,3.05,2.95,1.65,0.69
"SL1344_0258",8.85,11.81,3.07,3.41,0.22,0.23
"SL1344_0259",7.57,7.95,4.58,5.08,2.39,1.1
"SL1344_tRNA_4",12561.94,12749.7,16441.78,14059.27,17357.78,18251.09
"SL1344_0260",0.64,0.79,0.15,0.25,0.06,0.03
"SL1344_0261",0.55,0.29,0.15,0.17,0.03,0.02
"SL1344_0262",0.47,0.5,0.24,0.31,0.06,0.02
"SL1344_0263",1.15,0.74,0.66,0.58,0.12,0.08
"SL1344_0264",0.69,0.79,0.46,0.42,0.02,0.05
"SL1344_0265",0.17,0.12,0.13,0.2,0.08,0.04
"SL1344_0266",0.32,0.28,0.17,0.24,0.03,0.01
"SL1344_0267",0.24,0.14,0.2,0.19,0.08,0.01
"SL1344_0268",0.23,0.44,0.15,0.19,0.04,0.03
"SL1344_0270",0.35,0.35,0.34,0.4,0.39,0.08
"SL1344_0271",0.37,0.32,0.36,0.43,0.28,0.26
"SL1344_0272",1.01,1.07,0.49,0.41,0.3,0.15
"SL1344_0273",0.47,0.34,0.2,0.3,0.34,0.17
"SL1344_0274",0.27,0.59,0.43,0.25,0.36,0.04
"SL1344_0275",0.24,0.15,0.12,0.08,0.27,0.1
"SL1344_0276",0.1,0.17,0.06,0.12,0.05,0.03
"SL1344_0277",0.38,0.42,0.14,0.1,0.03,0.02
"SL1344_0278",0.47,0.37,0.25,0.27,0.4,0.12
"SL1344_0279",0.18,0.36,0.38,0.3,0.88,0.34
"SL1344_0280",0.42,0.41,0.33,0.26,0.04,0.04
"SL1344_0281",0.16,0.3,0.12,0.17,0.03,0
"SL1344_0282",0.99,1.81,1.04,0.92,1.97,0.59
"SL1344_0283",1.54,1.3,0.77,0.86,0.36,0.08
"SL1344_0284",0.38,0.61,0.25,0.26,0.07,0.05
"SL1344_0285",1.16,1.34,0.32,0.56,0.03,0.04
"SL1344_0286",1.55,1.4,1.1,1.2,1.13,0.4
"SL1344_0286A",14.32,13.53,14.34,15.68,9.57,3.83
"SL1344_0286B",5.7,5.26,4.85,5.5,5.19,2.4
"SL1344_0288",4.11,4.73,3.09,4.04,1.31,0.62
"SL1344_0289",0.58,0.91,0.22,0.31,0.16,0.02
"IsrA",0.18,0,0.1,0.1,0.15,0.01
"SL1344_ncRNA_7",0.18,0,0.1,0.1,0.15,0.01
"SL1344_0291",1.17,1.27,0.46,1.24,0.53,0.22
"SL1344_0292",0.33,0.42,0.07,0.2,0.06,0.06
"SL1344_0293",0.55,1.11,0.69,0.63,0.23,0.2
"SL1344_0294",0.06,0.06,0.09,0.04,0.01,0.01
"SL1344_0295",1.21,1.53,1.89,2.01,1.35,0.65
"SL1344_0296",1.74,1.17,0.93,0.95,0.42,0.18
"SL1344_0297",0.76,1,0.68,0.76,0.53,0.14
"SL1344_0298",1.1,1.61,0.58,0.51,0.1,0.1
"SL1344_0299",0.57,0.48,0.42,0.61,0.53,0.15
"SL1344_0300",2.54,3.36,9.07,13.69,6.13,3.63
"SL1344_0301",3.36,3.38,5.59,7.39,0.82,0.39
"SL1344_0302",2.66,2.61,10.02,8.47,6.43,2.05
"SL1344_0303",3.55,4.35,1.87,2.09,3.84,1.62
"STnc1030",13.58,10.87,23.57,23.03,19.94,18.04
"STnc1040",14.57,12.5,27.88,25.85,6.94,11.83
"SL1344_0304",3.44,3.16,2.42,2.64,0.68,0.46
"SL1344_0305",1.06,1.07,2.18,1.7,1.22,0.76
"SL1344_0306",16.42,17.43,6.6,7.85,1.24,0.59
"SL1344_0307",9.27,10.05,3.73,5.5,0.23,0.26
"SL1344_0308",11.57,12.46,6.01,7.99,1.16,1.07
"SL1344_0309",3.9,3.73,1.17,1.21,1.91,0.92
"SL1344_0310",1.49,1.75,0.81,1.16,0.94,0.23
"SL1344_0311",1.52,1.31,0.74,1.06,0.08,0.09
"SL1344_0312",18.78,18.78,7.3,8.21,0.87,0.65
"SL1344_0313",39.04,38.81,6.9,9.98,0.87,0.61
"SL1344_0314",8.4,8.07,4.23,4.22,1.53,0.82
"SL1344_0315",54.44,54.43,19.22,18.39,2.44,1.47
"SL1344_0316",2.48,2.53,1.14,1.31,0.99,0.46
"SL1344_0317",6.31,6.99,3.3,3.49,0.29,0.16
"SL1344_0318",7.43,7.88,3.4,3.35,0.18,0.15
"SL1344_tRNA_5",19670.79,19742.03,24168.28,32780.72,19136.72,25974.24
"SL1344_0319",0.52,0.55,0.2,0.25,0.24,0.12
"SL1344_0320",0.18,0.22,0.11,0.16,0.04,0.02
"SL1344_0322",12.15,13.44,45.47,38.64,3.49,2.6
"SL1344_0323",0.14,0.16,0.19,0.22,0.31,0.16
"SL1344_0324",0.13,0.15,0.25,0.2,0.13,0.06
"SL1344_0325",0.83,0.37,0.36,0.37,0.08,0.1
"SL1344_0326",0.56,0.39,0.35,0.4,0.34,0.13
"SL1344_0327",0.96,1.25,0.74,0.75,0.58,0.27
"STnc3270",11.33,11.74,5.71,6.56,5.63,2.57
"SL1344_0328",2.44,2.19,1.55,1.65,0.95,0.5
"SL1344_0329",1.9,1.82,1.55,2.4,1.84,0.89
"SL1344_0330",0.71,0.39,0.9,0.55,0.49,0.12
"SL1344_0331",1.43,1.17,0.86,0.89,1.99,0.66
"SL1344_0332",1.19,1.12,0.45,0.42,0.23,0.11
"SL1344_0333",1,1.12,0.58,0.57,0.29,0.13
"SL1344_0334",0.1,0.27,0.16,0.24,0.15,0.06
"SL1344_0335",0.1,0.15,0.02,0.08,0.15,0.03
"SL1344_0336",3.39,3.34,3.61,5.18,1.34,0.47
"SL1344_0337",1.86,1.93,1.26,1.71,0.35,0.1
"STnc1700",5.13,5.98,9.75,9.59,17.21,8.43
"SL1344_0338",1.23,1.32,1.32,1.67,0.61,0.28
"SL1344_0339",8.63,8.73,5.13,5.33,0.91,0.38
"SL1344_0340",5.61,5.81,3.54,4.24,0.53,0.26
"SL1344_0341",0.25,0.5,0.21,0.22,0.45,0.12
"SL1344_0342",0.93,0.53,0.17,0.39,0.69,0.43
"SL1344_0343",2.76,2.2,2.51,1.48,4.47,1.72
"SL1344_0344",0.58,1.81,0.73,0.87,1.16,0.46
"SL1344_0345",0.43,0.21,0.16,0.23,0.13,0.05
"SL1344_0346",0.45,0.35,0.19,0.17,0.06,0.03
"SL1344_0347",0.05,0,0.06,0.01,0.01,0
"SL1344_0348",0.31,0.26,0.15,0.21,0.05,0.03
"SL1344_0349",1.45,1.18,1.22,1.23,0.2,0.14
"SL1344_0350",2.79,2.41,3.46,3.64,1.24,1.36
"SL1344_0351",0.72,0.85,0.72,0.57,0.2,0.14
"SL1344_0352",9.41,9.92,2.14,2.3,0.85,0.33
"SL1344_0353",6.66,7.13,1.47,1.66,0.78,0.36
"SL1344_0354",3.3,2.3,13.23,15.17,46.73,72.88
"SL1344_0355",0.53,0.46,1.81,2.66,1.85,1.41
"SL1344_0356",0.95,1.6,3.51,3.85,4.37,2.66
"SL1344_0357",1.38,2.43,2.37,3.18,2.29,2.27
"SL1344_0358",3.61,2.8,0.65,0.78,0.8,0.39
"SL1344_0359",0.97,0.96,0.44,0.43,0.5,0.24
"SL1344_0360",2.62,3.21,5.05,4.96,1,0.6
"SL1344_0361",1.5,3.12,33.39,34.39,11.88,8.51
"SL1344_0362",1.67,1.44,1.18,0.7,0.09,0.07
"SL1344_0363",0.41,0.23,0.42,0.45,0.22,0.1
"STnc3280",4.61,13.58,7.6,7.47,1.43,1.71
"SL1344_0364",0.35,0.54,0.59,0.45,0.34,0.11
"SL1344_0365",0.37,0.31,0.42,0.41,0.11,0.06
"SL1344_0366",0.44,0.48,0.4,0.31,0.13,0.08
"SL1344_0367",8.31,8.43,2.24,2.58,0.17,0.12
"SL1344_0368",1.9,1.79,1.98,1.87,0.74,0.33
"SL1344_0369",1.37,1.5,1.83,1.86,1.02,0.45
"SL1344_0370",2.63,2.91,1.58,1.62,0.36,0.18
"SL1344_0371",2.52,3.29,1.51,1.6,0.52,0.25
"SL1344_0372",2.53,3,1.51,1.81,0.13,0.11
"SL1344_0373",1.68,1.43,1.8,2.03,1.5,0.82
